,University,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
162,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Bloomsbury Coffee House,51.525282432261235,-0.12649480727341608,Café
163,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Waterstones,51.52258228648432,-0.13242574799823956,Bookstore
164,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Tavistock Square,51.52500613080135,-0.12906789779663086,Park
165,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Kimpton Fitzroy London,51.5226238449589,-0.125131949455635,Hotel
166,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Gay's The Word,51.525385528759635,-0.12536873975061122,Bookstore
167,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Asia Room,51.52032815339407,-0.12771637486195303,Exhibit
168,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Wing Wing,51.524597893572576,-0.1280003550713556,Wings Joint
169,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Tortilla,51.52319599190812,-0.12461934951862655,Burrito Place
170,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,IOE Students' Union,51.52247517777459,-0.12801854395492152,Bar
171,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,SOAS Brunei Gallery,51.52174725204803,-0.12881858103355626,Art Museum
172,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,49 Cafe,51.524906,-0.125177,Deli / Bodega
173,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Pizza Sophia,51.52576524466053,-0.1252588985551932,Pizza Place
174,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Store Street Espresso,51.52023337903095,-0.1308240840465514,Coffee Shop
175,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Continental Stores,51.525658,-0.125075,Coffee Shop
176,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Curzon Bloomsbury,51.52412034634927,-0.12300238522495448,Movie Theater
177,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,The Gym,51.52417475148982,-0.12503132660504482,Gym
178,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Pitted Olive,51.52636858751076,-0.12562325774893196,Turkish Restaurant
179,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Pret A Manger,51.52321434546074,-0.12474337608850868,Sandwich Place
180,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Friend at Hand,51.52278844813885,-0.12450983778650378,Pub
181,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Fork - Deli Patisserie,51.52584780403751,-0.1256510721337981,Café
182,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,The Egyptian Exhibition,51.519400891828084,-0.12689243886948395,Exhibit
183,UCL (UNIVERSITY COLLEGE LONDON),51.523160700000005,-0.1282037,Pret A Manger,51.525381149129814,-0.12861695185350594,Sandwich Place
